ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Label,Project,ProjectFile,ProjectName,EntryDate,Comment,Link,Set
v_estonianesto1258,Estonian,esto1258,Estonian,ekk,Eurasia,58.55,25.82,Uralic,Estonian_esto1258,kinura,Estonian_esto1258.txt,,NA,,,Kinura
v_komizyriankomi1268,Komi-Zyrian,komi1268,Komi-Zyrian,kpv,Eurasia,64.0527,54.946,Uralic,KomiZyrian_komi1268,kinura,KomiZyrian_komi1268.txt,,NA,,,Kinura
v_udmurtudmu1245,Udmurt,udmu1245,Udmurt,udm,Eurasia,56.12921,52.63548,Uralic,Udmurt_udmu1245,kinura,Udmurt_udmu1245.txt,,NA,,,Kinura
v_vepsveps1250,Veps,veps1250,Veps,vep,Eurasia,60.3353,34.7865,Uralic,Veps_veps1250,kinura,Veps_veps1250.txt,,NA,,,Kinura
v_forestenetsfore1265,Forest Enets,fore1265,Forest Enets,enf,Eurasia,68.6,86.5,Uralic,ForestEnets_fore1265,kinura,ForestEnets_fore1265,,20221011,,,Kinura
v_hillmariwest2392,Western Mari,west2392,Western Mari,mrj,Eurasia,56.22,46.57,Uralic,HillMari_west2392,kinura,HillMari_west2392,,20221011,,,Kinura
v_livonianlivv1244,Livonian,livv1244,Liv,liv,Eurasia,57.57,22.03,Uralic,Livonian_livv1244,kinura,Livonian_livv1244,,20221011,,,Kinura
v_mokshamordvinmoks1248,MokshaMordvin,moks1248,Moksha,mdf,Eurasia,54.19,42.67,Uralic,MokshaMordvin_moks1248,kinura,MokshaMordvin_moks1248,,20221011,,,Kinura
v_nganasanngan1291,Nganasan,ngan1291,Nganasan,nio,Eurasia,73.14,86.21,Uralic,Nganasan_ngan1291,kinura,Nganasan_ngan1291,,20221011,,,Kinura
v_skoltsaamiskol1241,Skolt Saami,skol1241,Skolt Saami,sms,Eurasia,69.505596,28.592182,Uralic,SkoltSaami_skol1241,kinura,SkoltSaami_skol1241,,20221011,,,Kinura
v_southsaamisout2674,South Saami,sout2674,South Saami,sma,Eurasia,62.88,13.7,Uralic,SouthSaami_sout2674,kinura,SouthSaami_sout2674,,20221011,,,Kinura
v_northsaaminort2671,North Saami,nort2671,North Saami,sme,Eurasia,68.72,22.11,Uralic,NorthSaami_nort2671,kinura,NorthSaami_nort2671,,20221013,,,Kinura
v_erzyamordvinerzy1239,Erzya Mordvin,erzy1239,Erzya,myv,Eurasia,53,45.5,Uralic,ErzyaMordvin_erzy1239,kinura,ErzyaMordvin_erzy1239,,20230427,,,Kinura
v_finnishfinn1318,Finnish,finn1318,Finnish,fin,Eurasia,62,25,Uralic,Finnish_finn1318,kinura,Finnish_finn1318,,20230427,,,Kinura
v_hungarianhung1274,Hungarian,hung1274,Hungarian,hun,Eurasia,47,20,Uralic,Hungarian_hung1274,kinura,Hungarian_hung1274,,20230427,,,Kinura
v_kazymkhantynort2672,Kazym Khanty,nort2672,Kazym Khanty,kca,Eurasia,62.4308,66.1218,Uralic,KazymKhanty_nort2672,kinura,KazymKhanty_nort2672,,20230427,,,Kinura
v_meadowmarigras1239,Meadow Mari,gras1239,Grassland Mari,mhr,Eurasia,57,48,Uralic,MeadowMari_gras1239,kinura,MeadowMari_gras1239,,20230427,,,Kinura
v_sosvamansinort2677,Sosva Mansi,nort2677,Sosva Mansi,mns,Eurasia,62,62,Uralic,SosvaMansi_nort2677,kinura,SosvaMansi_nort2677,,20230427,,,Kinura
v_tundranenetsnene1249,Tundra Nenets,nene1249,Tundra Nenets,yrk,Eurasia,70,76,Uralic,TundraNenets_nene1249,kinura,TundraNenets_nen1249,,20230427,,,Kinura
