ID,Label,Glottocode,ISO639P3code,Name,Family,Latitude,Longitude,Project,ProjectFile,EntryDate,Comment,Link,Set
p_finnishfinn1318,Finnish_finn1318,finn1318,fin,Finnish,Uralic,64.7628,25.5577,parabank,Finnish finn1318.txt,20170901,,,Kinura
v_erzyaerzy1239,Erzya_erzy1239,erzy1239,myv,Erzya,Uralic,52.8548,45.3901,varikin,Erzya_erzy1239.txt,NA,,,Kinura
v_estonianesto1258,Estonian_esto1258,esto1258,ekk,Estonian,Uralic,58.55,25.82,varikin,Estonian_esto1258.txt,NA,,,Kinura
v_kazymberezoversuryskarerkhantykhan1273,Kazym_Berezover_Suryskarer_Khanty_khan1273,khan1273,kca,Kazym-Berezover-Suryskarer Khanty,Uralic,62.4308,66.1218,varikin,Kazym_Berezover_Suryskarer_Khanty_khan1273.txt,NA,,,Kinura
v_komizyriankomi1268,Komi_Zyrian_komi1268,komi1268,kpv,Komi-Zyrian,Uralic,64.0527,54.946,varikin,Komi_Zyrian_komi1268.txt,NA,,,Kinura
v_magyarhung1274,Magyar_hung1274,hung1274,hun,Hungarian,Uralic,46.90685857,19.65552714,varikin,Magyar_hung1274.txt,NA,,,Kinura
v_mansimans1258,Mansi_mans1258,mans1258,mns,Northern Mansi,Uralic,64.4118,61.344,varikin,Mansi_mans1258.txt,NA,,,Kinura
v_marieast2328,Mari_east2328,east2328,mhr,Eastern Mari,Uralic,55.8307,48.405,varikin,Mari_east2328.txt,NA,,,Kinura
v_udmurtudmu1245,Udmurt_udmu1245,udmu1245,udm,Udmurt,Uralic,56.12921,52.63548,varikin,Udmurt_udmu1245.txt,NA,,,Kinura
v_vepsveps1250,Veps_veps1250,veps1250,vep,Veps,Uralic,60.3353,34.7865,varikin,Veps_veps1250.txt,NA,,,Kinura
kinura_ForestEnets,kinura_ForestEnets_fore1265,fore1265,enf,Forest Enets,Uralic,68.6,86.5,Kinura,kinura_ForestEnets_fore1265,20221011,,,Kinura
kinura_HillMari,kinura_HillMari_west2392,west2392,mrj,Western Mari,Uralic,56.22,46.57,Kinura,kinura_HillMari_west2392,20221011,,,Kinura
kinura_Livonian,kinura_Livonian_livv1244,livv1244,liv,Livonian,Uralic,57.57,22.03,Kinura,kinura_Livonian_livv1244,20221011,,,Kinura
kinura_MokshaMordvin,kinura_MokshaMordvin_moks1248,moks1248,mdf,MokshaMordvin,Uralic,54.19,42.67,Kinura,kinura_MokshaMordvin_moks1248,20221011,,,Kinura
kinura_Nganasan,kinura_Nganasan_ngan1291,ngan1291,nio,Nganasan,Uralic,73.14,86.21,Kinura,Kinura_Nganasan_ngan1291,20221011,,,Kinura
kinura_SkoltSaami,kinura_SkoltSaami_skol1241,skol1241,sms,Skolt Saami,Uralic,69.505596,28.592182,Kinura,kinura_SkoltSaami_skol1241,20221011,,,Kinura
kinura_SouthSaami,kinura_SouthSaami_sout2674,sout2674,sma,South Saami,Uralic,62.88,13.7,Kinura,kinura_SouthSaami_sout2674,20221011,,,Kinura
kinura_NorthSaami,kinura_NorthSaami_nort2671,nort2671,sme,North Saami,Uralic,68.72,22.11,Kinura,kinura_NorthSaami_nort2671,20221013,,,Kinura
kinura_ErzyaMordvin,kinura_ErzyaMordvin_erzy1239,erzy1239,myv,Erzya Mordvin,Uralic,53.0,45.5,Kinura,kinura_ErzyaMordvin_erzy1239,20230427,,,Kinura
kinura_Estonian,kinura_Estonian_esto1258,esto1258,ekk,Estonian,Uralic,59.00,26.00,Kinura,kinura_Estonian_esto1258,20230427,,,Kinura
kinura_Finnish,kinura_Finnish_finn1318,finn1318,fin,Finnish,Uralic,62.00,25.00,Kinura,kinura_Finnish_finn1318,20230427,,,Kinura
kinura_Hungarian,kinura_Hungarian_hung1274,hung1274,hun,Hungarian,Uralic,47.00,20.00,Kinura,kinura_Hungarian_hung1274,20230427,,,Kinura
kinura_KazymKhanty,kinura_KazymKhanty_nort2672,nort2672,,Kazym Khanty,Uralic,62.4308,66.1218,Kinura,kinura_KazymKhanty_nort2672,20230427,,,Kinura
